codigo,nombre,descripcion,categoria,unidad_medida,peso_kg
TORN-M14-80,TORNILLO M14 X 80MM CON TUERCA HA,,,pieza,
PAS-SEG-400,PASADOR DE SEGURIDAD 4.0MM PARA BULON HA,,,pieza,
SOP-PROT-VER,SOPORTE PROTECT MEDIA GRAPA VERTICAL T9 PR,,,pieza,
SOP-PROT-HOR,SOPORTE PROTECT MEDIA GRAPA HORIZONTAL T9 PR,,,pieza,
SOP-PROT-CAB-T9,SOPORTE PROTECT CABEZA ALLROUND T9 PR,,,pieza,
PUERT-PAN-PROT-157-200,PUERTA PANEL PROTECT 1.57M X 2.00M PR,,,pieza,
PUERT-PAN-PROT-157-300,PUERTA PANEL PROTECT 1.57M X 3.00M PR,,,pieza,
CUBR-HUEC-157,CUBREHUECOS PUERTA PANEL PROTECT 1.57M PR,,,pieza,
PERF-CON-16-ESQ-EXT,PERFIL DE CONEXION 0.16M ESQUINA EXTERIOR 90ï¿½ PR,,,pieza,
PERF-CON-39-ESQ-INT,PERFIL DE CONEXION 0.39M ESQUINA INTERIOR 90ï¿½ PR,,,pieza,
PAN-PROT-39-ESQ-INT,PANEL PROTECT 0.39M ESQUINA INTERIOR 90ï¿½ PR,,,pieza,
PAN-PROT-16-ESQ-EXT,PANEL PROTECT 0.16M ESQUINA EXTERIOR 90ï¿½ PR,,,pieza,
PERF-CON-307,PERFIL DE CONEXION 3.07M PR,,,pieza,
PERF-CON-257,PERFIL DE CONEXION 2.57M PR,,,pieza,
PERF-CON-207,PERFIL DE CONEXION 2.07M PR,,,pieza,
PERF-CON-157,PERFIL DE CONEXION 1.57M PR,,,pieza,
PERF-CON-109,PERFIL DE CONEXION 1.09M PR,,,pieza,
PERF-CON-73,PERFIL DE CONEXION 0.73M PR,,,pieza,
PANEL-2.57-100,PANEL PROTECT TRANSLUCIDO 2.57M X 1.00M PR,,,pieza,
PANEL-207-100,PANEL PROTECT TRANSLUCIDO 2.07M X 1.00M PR,,,pieza,
PANEL-307-100,PANEL PROTECT CHAPA ACERO 3.07M X 1.00M PR,,,pieza,
PANEL-257-100,PANEL PROTECT CHAPA ACERO 2.57M X 1.00M PR,,,pieza,
PANEL-157-100,PANEL PROTECT CHAPA ACERO 1.57M X 1.00M PR,,,pieza,
PANEL-109-100,PANEL PROTECT CHAPA ACERO 1.09M X 1.00M PR,,,pieza,
PANEL-73-100,PANEL PROTECT CHAPA ACERO 0.73M X 1.00M PR,,,pieza,
VIG-TW-660-20,VIGA TWIXBEAM 6.60M X 0.20M ALUMINIO TX ZB,,,pieza,
VIG-TW-560-20,VIGA TWIXBEAM 5.60M X 0.20M ALUMINIO TX ZB,,,pieza,
VIG-TW-ALUM-460,VIGA TWIX DE ALUMINIO 4.60M TX,,,pieza,
VIG-TW-310-20-ALUM,VIGA TWIXBEAM 3.10M X 0.20M ALUMINIO TX ZB,,,pieza,
VIG-TW-260-20-ALUM,VIGA TWIXBEAM 2.60M X 0.20M ALUMINIO TX ZB,,,pieza,
VIG-TW-ALUM-210,VIGA TWIX DE ALUMINIO 2.10M TX,,,pieza,
VIG-TW-170-20,VIGA TWIXBEAM 1.70M X 0.20M ALUMINIO TX ZB,,,pieza,
VIG-TW-80-20,VIGA TWIXBEAM 0.80M X 0.20M ALUMINIO TX ZB,,,pieza,
VIG-INS-TW-2.75-14,VIGA INSERCION TWIXBEAM 2.75M X 0.14M ALUMINIO TX ZB,,,pieza,
VIG-INS-TW-2.25-14,VIGA INSERCION TWIXBEAM 2.25M X 0.14M ALUMINIO TX ZB,,,pieza,
VIG-INS-TW-175-14,VIGA INSERCION TWIXBEAM 1.75M X 0.14M ALUMINIO TX ZB,,,pieza,
VIG-INS-TW-127-14,VIGA INSERCION TWIXBEAM 1.27M X 0.14M ALUMINIO TX ZB,,,pieza,
VIG-INS-TW-91-14,VIGA INSERCION TWIXBEAM 0.91M X 0.14M ALUMINIO TX ZB,,,pieza,
VIG-INS-TW-49-14,VIGA INSERCION TWIXBEAM 0.49M X 0.14M ALUMINIO TX ZB,,,pieza,
VER-REG-170-230,VERTICAL REGULABLE TWIXBEAM 1.70M-2.30M TX ZB,,,pieza,
VER-REG-120-180,VERTICAL REGULABLE TWIXBEAM 1.20M-1.80M TX ZB,,,pieza,
VERT-REG-90-130,VERTICAL REGULABLE TWIXBEAM 0.90M-1.30M TX ZB,,,pieza,
ESPAC-TW-TX,ESPACIADOR TWIXBEAM TX ZB,,,pieza,
TOR-M20-90-C-TUER,TORNILLO M20 X 90MM CON TUERCA Y ARANDELA TWIXBEAM TX ZB,,,pieza,
CON-TWIX-80,CONECTOR TWIXBEAM 0.80M TX ZB,,,pieza,
ADAP-VERT-HEM,ADAPTADOR VERTICAL HEMBRA FLEXBEAM FX ZB,,,pieza,
ADAP-VERT-MACH,ADAPTADOR VERTICAL MACHO FLEXBEAM FX ZB,,,pieza,
ADAPT-VAR-VERT-,ADAPTADOR VARILLA-VERTICAL FLEXBEAM FX ZB,,,pieza,
ZAP-SUSP-FLEX,ZAPATA DE SUSPENSION FLEXBEAM FX ZB,,,pieza,
VIGA-FLEX 400-28,VIGA FLEXBEAM 4.00M X 0.28M ALUMINIO FX ZB,,,pieza,
VIGA-FLEX 600-28,VIGA FLEXBEAM 6.00M X 0.28M ALUMINIO FX ZB,,,pieza,
VIGA-FLEX 500-28,VIGA FLEXBEAM 5.00M X 0.28M ALUMINIO FX ZB,,,pieza,
ADAPT-FIN-C-CAB,ADAPTADOR FINAL FLEXBEAM CON CABEZAS AR FX ZB,,,pieza,
DO-BAS-COLL,BASE COLLARIN,,,pieza,
DO-BAS-REG-60,BASE FIJA REGULABLE 60CM,,,pieza,
DO-BAS-GIR-78,BASE GIRATORIA REGULABLE 78 CM,,,pieza,
DO-R10,RUEDA 10KN,,,pieza,
DO-VER-300,VERTICAL 3.00 M ESPIGA APERMADA SIMPLE,,,pieza,
DO-VER-200,VERTICAL 2.00 M ESPIGA APERMADA SIMPLE,,,pieza,
DO-VER-150,VERTICAL 1.50 M ESPIGA APERMADA SIMPLE,,,pieza,
DO-VER-100,VERTICAL 1.00 M ESPIGA APERMADA SIMPLE,,,pieza,
DO-VER-50,VERTICAL .50 M ESPIGA APERMADA SIMPLE,,,pieza,
DO-HOR-15,HORIZONTALES 0.15M,,,pieza,
DO-HOR-65,HORIZONTALES 0.65M,,,pieza,
DO-HOR-88,HORIZONTALES 0.88M,,,pieza,
DO-HOR-18,HORIZONTALES 1.065M,,,pieza,
DO-HOR-157,HORIZONTALES 1.57M,,,pieza,
DO-HOR-213,HORIZONTALES 2.13M,,,pieza,
DO-HOR-243,HORIZONTALES 2.43M,,,pieza,
DO-HOR-305,HORIZONTALES 3.05M,,,pieza,
DO-DIA-200-88,DIAGONAL 200/88 CM,,,pieza,
DO-DIA-200-106.5,DIAGONAL 200/1.065 CM,,,pieza,
DO-DIA-200-157,DIAGONAL 200/157 CM,,,pieza,
DO-DIA-200-213,DIAGONAL 200/213 CM,,,pieza,
DO-DIA-200-243,DIAGONAL 200/243 CM,,,pieza,
DO-DIA-200-305,DIAGONAL 200/305 CM,,,pieza,
DO-PLAT-24-65,PLATAFORMA DE ACERO 24/65 CM,,,pieza,
DO-PLAT-24-88,PLATAFORMA DE ACERO 24/88 CM,,,pieza,
DO-PLAT-24-106.5,PLATAFORMA DE ACERO 24/1.065 CM,,,pieza,
DO-PLAT-24-157,PLATAFORMA DE ACERO 24/157 CM,,,pieza,
DO-PLAT-24-213,PLATAFORMA DE ACERO 24/213 CM,,,pieza,
DO-PLAT-24-243,PLATAFORMA DE ACERO 24/243 CM,,,pieza,
DO-PLAT-24-305,PLATAFORMA DE ACERO 24/305 CM,,,pieza,
DO-PLAT-TRA-61-213,PLATAFORMA C/TRP ALUM/PLEG 61/213 CM,,,pieza,
DO-PLAT-TRA-61-243,PLATAFORMA C/TRP ALUM/PLEG 61/243 CM,,,pieza,
DO-PLAT-TRA-61-305,PLATAFORMA C/TRP ALUM/PLEG 61/305 CM,,,pieza,
DO-PLAT-TRA-74-213,PLATAFORMA C/TRP ALUM/PLEG 74/213 CM,,,pieza,
DO-PLAT-TRA-74-243,PLATAFORMA C/TRP ALUM/PLEG 75/243 CM,,,pieza,
DO-PLAT-TRA-74-305,PLATAFORMA C/TRP ALUM/PLEG 74/305 CM,,,pieza,
DO-ROD-65,RODAPIE INTERCONEXION 0.65M,,,pieza,
DO-ROD-88,RODAPIE INTERCONEXION 0.88M,,,pieza,
DO-ROD-106.5,RODAPIE INTERCONEXION 1.065M,,,pieza,
DO-ROD-157,RODAPIE INTERCONEXION 1.57M,,,pieza,
DO-ROD-213,RODAPIE INTERCONEXION 2.13M,,,pieza,
DO-ROD-243,RODAPIE INTERCONEXION 2.43M,,,pieza,
DO-ROD-305,RODAPIE INTERCONEXION 3.05M,,,pieza,
DO- ABRA-GIR,ABRAZADERA GIRATORIA 48MM,,,pieza,
DO- ABRA-,ABRAZADERA NORMAL 48MM,,,pieza,
VIG-PUE-157,VIGA PUENTE TIPO 0 1.57,,,pieza,
VIG-PUE-213,VIGA PUENTE TIPO 0 2.13,,,pieza,
VIG-PUE-243,VIGA PUENTE TIPO 0 2.43,,,pieza,
VIG-PUE-305,VIGA PUENTE TIPO 0 3.05,,,pieza,
ESCAL-200-205,ESCALERA INTERNA 2.00 X 3.05,,,pieza,
BAR-ESC-200-305,BARANDA DE ESCALERA 2.00 X 3.05,,,pieza,
ESC-MAR-200,ESCALERA MARINA 2.00,,,pieza,
ESC-MAR-240,ESCALERA MARINA 2.40,,,pieza,
ESC-MAR-300,ESCALERA MARINA 3.00,,,pieza,
ESC-MAR-360,ESCALERA MARINA 3.60,,,pieza,
ESC-MAR-420,ESCALERA MARINA 4.20,,,pieza,
ESC-MAR-480,ESCALERA MARINA 4.80,,,pieza,
ESC-MAR-540,ESCALERA MARINA 5.40,,,pieza,
ESC-MAR-600,ESCALERA MARINA 6.00,,,pieza,
PM30-220,PLATAFORMA DE MADERA DE 30CM PARA ANDAMIO,,,pieza,
V-I-2.14,VIGA METALICA I 2.14M,,,pieza,
V-I-1.85,VIGA METALICA I 1.86M,,,pieza,
